,GSM175786,GSM175787,GSM175788,GSM176082,GSM176083,GSM176084,GSM176085,GSM176086,GSM176087,GSM176088,GSM176089,GSM176090,GSM176091,GSM176092,GSM176234,GSM176236,GSM176238,GSM176240,GSM176039,GSM176040,GSM176041,GSM176043,GSM176093,GSM176094,GSM176095,GSM176096,GSM176097,GSM176098,GSM176099,GSM176100,GSM176101,GSM176127,GSM176132,GSM176137,GSM176141,GSM176142,GSM176143,GSM176144,GSM176145,GSM176146,GSM176319
NGF,48.08427,88.03222,39.0406,37.408203,32.244194,33.20978,60.297817,38.569218,36.51158,37.688152,52.02333,24.700708,55.28445,16.209532,30.378687,13.489932,19.285343,20.361134,1.7795957,23.486902,3.0407813,12.501394,3.0700338,3.0774498,9.6091385,2.7232485,4.1726336,11.133904,1.3239639,4.4057174,6.2562723,2.0276241,27.58515,1.8909309,10.749122,2.845008,31.917078,28.132357,24.712675,24.95758,8.24286
TXK,1.4826257,12.985726,5.6671247,17.391453,16.315567,0.5219574,8.182406,9.092463,15.663209,10.585915,9.393519,1.9822466,3.332859,0.7586825,17.927748,8.760899,1.0225117,13.810007,22.78617,10.038427,18.132391,26.675283,37.200325,23.108652,40.83053,27.466406,39.64981,41.561344,33.735878,24.251984,24.46775,12.383333,8.180739,13.492127,35.2809,27.168165,5.3146005,1.2549065,3.0756247,6.225604,45.401047
TNFSF14,14.124817,21.786718,50.894665,136.92706,75.90887,27.990334,21.647161,51.761604,87.33285,18.613388,15.0799465,48.16714,107.71316,78.6771,62.900795,29.245756,25.355707,119.83224,13.468021,0.5187937,0.9669556,0.77728647,5.115408,1.6126161,1.2383158,9.029012,2.2202342,1.5601242,1.0058261,0.95099,1.5868751,1.3051896,3.0457475,0.8867056,6.082793,0.8394034,5.642648,0.78127784,1.8956242,0.7037082,1.4197229
NRG2,14.160308,3.2463295,2.1429276,2.0865993,10.888659,0.5591775,19.867655,0.82524776,9.187166,15.790838,6.262331,1.3341575,2.9582353,1.8307346,1.5985613,0.4657441,0.7467116,1.447074,12.684544,2.8122377,12.923035,5.7057815,69.03514,57.15368,48.85309,7.9808517,61.46299,48.86996,24.27745,43.4624,24.743664,14.4699335,1.6210339,43.498165,17.187037,53.535336,0.46014833,0.68154866,4.818218,0.79772097,64.076836
CHIT1,1.7087564,1.557003,18.793,2.705227,106.02852,13.575345,1.4516797,38.12456,13.805499,115.31395,73.56236,76.376305,1.9691008,6.6009965,1.9743215,32.4258,4.9193296,0.92541957,1.6673849,1.9790757,1.4776897,2.4288728,2.1192942,3.1025763,1.4864336,1.5402815,1.5869106,3.1094735,1.8180261,2.3344955,1.357063,9.825727,2.300607,3.0340202,3.6251335,3.4712908,0.7436312,2.6853752,1.2383971,11.681325,5.7594805
EDN3,34.837242,1.1288514,10.714966,13.796975,37.01918,16.590939,7.1395164,2.5758388,32.225254,1.844785,31.770016,1.2676458,1.6873558,0.8927704,13.449677,1.5766938,12.344933,2.5478072,91.47514,6.200575,115.66448,53.44027,159.80304,128.54852,123.059746,11.317837,298.50525,145.32083,99.70891,50.074932,77.15434,25.861597,13.493945,57.854298,20.331614,227.0189,1.6172296,8.959256,0.69405985,1.4948258,192.4049
PPARG,57.730164,66.864235,33.3901,46.23458,31.682884,26.691414,58.919052,36.08047,18.375692,44.490616,36.00932,36.73122,58.8403,140.76932,33.62405,10.068862,11.176585,12.920522,1.2643977,4.9297123,11.541697,0.95052123,14.504239,15.957076,11.0729,3.137568,13.414514,0.848898,15.731953,8.438066,10.011581,1.2389126,3.4935143,5.2012677,30.925442,21.956884,7.1660056,10.684264,23.657022,19.72367,13.425527
IGHM,116.663635,133.68857,80.66368,415.90344,102.19375,344.57098,55.786263,1624.2921,171.22623,89.45301,59.291935,156.40514,147.32372,52.181297,18.438465,260.95126,39.379013,188.96965,46.2241,4.452194,11.766495,53.15984,13.1119795,15.88744,24.54806,26.043987,19.85077,25.547127,22.28481,9.117978,30.229269,4.0102882,23.038893,4.0736475,10.745528,55.078426,31.11765,20.500193,2.5554876,19.831102,23.263823
IGF1,109.03398,117.58347,225.83888,384.09412,348.2306,162.36519,317.81873,298.07208,409.8004,251.91893,503.8758,127.19335,179.53036,156.686,291.6023,122.67047,172.06305,171.842,461.23114,143.94994,427.91565,721.1609,1137.7456,1284.8672,746.6946,326.61932,1190.1935,1267.9814,1381.7617,804.2534,927.4508,51.74334,70.85673,1096.8805,1427.7443,1097.3231,313.0726,647.93176,1001.9836,816.8369,1933.4377
C3AR1,26.44371,16.40031,40.033897,77.27657,50.933258,73.704636,21.308105,98.64627,106.32644,49.146423,62.13103,34.170185,37.14972,25.111036,36.635696,70.50483,33.45834,61.441338,24.020016,39.208714,41.57497,21.226164,17.706705,24.371887,3.3875492,23.30801,20.54592,14.762052,17.215601,15.682844,21.270636,5.7930512,6.483867,22.772509,59.495968,27.76141,33.113968,35.925682,39.03314,74.4975,37.865627
INHA,73.92323,45.47983,29.07103,22.900251,45.391773,19.37189,77.03647,33.52152,16.900301,22.571766,52.96033,33.491184,33.17321,1139.2174,21.350164,2.9361575,14.69277,17.61943,1.8671688,7.820958,1.300201,12.6864395,13.960488,14.947195,12.363082,8.632662,9.518845,13.400766,8.519494,9.860982,2.689179,5.820981,2.610892,4.5338316,4.336161,9.8851,16.22429,9.058559,12.537665,5.9868665,9.894173
DEFB1,48.615902,14.942777,9.115409,29.66725,44.94114,7.025602,1.146395,4.028696,34.373936,7.8687806,23.684612,3.4466014,1.8203452,10.046322,16.38237,8.075999,68.24577,32.782246,27.903059,5.8069687,20.43246,180.79564,125.3214,156.42899,399.23398,1504.1027,46.731155,48.502075,419.87045,145.16628,109.437195,23.759195,29.959929,94.86761,1774.9584,41.220345,9.405822,2.1546352,6.8345714,1.3253653,144.94983
VEGFA,51.061478,108.36711,96.62765,202.21365,333.02817,62.084557,70.397995,71.08095,147.77205,99.02653,84.09531,97.16127,96.11697,789.59424,239.912,143.41576,100.45629,39.102932,463.70334,601.9985,266.61417,245.28831,497.5365,1162.5596,307.46606,597.60547,388.94403,636.2441,338.30276,140.44673,263.6036,97.71913,508.82898,388.99524,1058.7515,408.63702,257.0744,2113.1912,1019.1525,923.90063,595.07166
NRTN,0.32173204,0.54470176,5.303554,0.2346476,0.397328,0.33561894,0.23162225,1.4451143,3.617867,4.4780245,0.24533182,0.25150982,0.3524685,0.31784368,1.5674275,0.25978187,1.1896826,1.475206,17.099567,0.5046256,0.3995085,11.834453,17.737272,18.78046,13.432298,15.28151,8.677584,15.499657,28.176762,13.056808,19.150831,9.718972,0.40937012,0.4121152,3.102492,11.306262,0.57933336,0.2512963,1.4342501,0.2880292,9.221332
